Location,Period,Dimension,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births)
Finland,1974,Male,12.06 [11.72-12.43]
Finland,1974,Female,9.36 [9.06-9.67]
Finland,1973,Both sexes,11.38 [11.09-11.68]
Finland,1973,Male,12.78 [12.42-13.16]
Finland,1973,Female,9.91 [9.59-10.24]
Finland,1972,Both sexes,12 [11.72-12.31]
Finland,1972,Male,13.5 [13.13-13.89]
Finland,1972,Female,10.43 [10.11-10.76]
Finland,1971,Both sexes,12.62 [12.32-12.92]
Finland,1971,Male,14.19 [13.81-14.59]
Finland,1971,Female,10.96 [10.63-11.3]
Finland,1970,Both sexes,13.22 [12.92-13.53]
Finland,1970,Male,14.85 [14.46-15.25]
Finland,1970,Female,11.5 [11.17-11.85]
Finland,1969,Both sexes,13.81 [13.52-14.11]
Finland,1969,Male,15.51 [15.12-15.9]
Finland,1969,Female,12.02 [11.68-12.36]
Finland,1968,Both sexes,14.41 [14.11-14.72]
Finland,1968,Male,16.17 [15.77-16.58]
Finland,1968,Female,12.56 [12.22-12.91]
Finland,1967,Both sexes,15.05 [14.75-15.37]
Finland,1967,Male,16.89 [16.48-17.31]
Finland,1967,Female,13.13 [12.78-13.48]
Finland,1966,Both sexes,15.76 [15.44-16.07]
Finland,1966,Male,17.68 [17.27-18.1]
Finland,1966,Female,13.73 [13.38-14.1]
Finland,1965,Both sexes,16.55 [16.22-16.87]
Finland,1965,Male,18.59 [18.15-19.02]
Finland,1965,Female,14.4 [14.03-14.78]
Finland,1964,Both sexes,17.42 [17.09-17.75]
Finland,1964,Male,19.57 [19.14-20.02]
Finland,1964,Female,15.17 [14.78-15.55]
Finland,1963,Both sexes,18.39 [18.03-18.75]
Finland,1963,Male,20.63 [20.17-21.1]
Finland,1963,Female,16.04 [15.63-16.44]
Finland,1962,Both sexes,19.44 [19.06-19.81]
Finland,1962,Male,21.8 [21.32-22.28]
Finland,1962,Female,16.96 [16.54-17.39]
Finland,1961,Both sexes,20.6 [20.19-20.99]
Finland,1961,Male,23.08 [22.55-23.6]
Finland,1961,Female,17.99 [17.55-18.44]
Finland,1960,Both sexes,21.89 [21.45-22.32]
Finland,1960,Male,24.53 [23.96-25.1]
Finland,1960,Female,19.12 [18.64-19.59]
Finland,1959,Both sexes,23.34 [22.89-23.79]
Finland,1959,Male,26.14 [25.57-26.73]
Finland,1959,Female,20.39 [19.88-20.89]
Finland,1958,Both sexes,24.85 [24.35-25.35]
Finland,1958,Male,27.76 [27.13-28.39]
Finland,1958,Female,21.79 [21.25-22.34]
Finland,1957,Both sexes,26.31 [25.79-26.83]
Finland,1957,Male,29.35 [28.7-30.01]
Finland,1957,Female,23.11 [22.55-23.67]
Finland,1956,Both sexes,27.68 [27.15-28.24]
Finland,1956,Male,30.87 [30.18-31.58]
Finland,1956,Female,24.32 [23.76-24.93]
Finland,1955,Both sexes,28.98 [28.42-29.58]
Finland,1955,Male,32.35 [31.63-33.09]
Finland,1955,Female,25.46 [24.86-26.09]
Finland,1954,Both sexes,30.23 [29.66-30.83]
Finland,1954,Male,33.71 [32.99-34.5]
Finland,1954,Female,26.57 [25.96-27.2]
Finland,1953,Both sexes,31.43 [30.82-32.07]
Finland,1953,Male,34.98 [34.21-35.79]
Finland,1953,Female,27.7 [27.06-28.38]
Finland,1952,Both sexes,32.61 [31.97-33.27]
Finland,1952,Male,36.14 [35.35-36.97]
Finland,1952,Female,28.9 [28.22-29.6]
Finland,1951,Both sexes,33.79 [33.04-34.58]
Finland,1951,Male,37.41 [36.51-38.35]
Finland,1951,Female,30 [29.23-30.81]
Finland,1950,Both sexes,35.08 [33.94-36.26]
Finland,1950,Male,38.88 [37.52-40.25]
Finland,1950,Female,31.08 [30.01-32.23]
France,2019,Both sexes,3.77 [3.58-4]
France,2019,Male,4.13 [3.9-4.38]
France,2019,Female,3.4 [3.21-3.62]
France,2018,Both sexes,3.69 [3.56-3.81]
France,2018,Male,4.03 [3.88-4.18]
France,2018,Female,3.33 [3.2-3.46]
